doc_id,document,top_k,category,input_data,answer,python_output,yaml_output
11356cd6bb0f2776a88cd584ff108470414c6594,document : Submanifold Sparse Convolutional Networks,1,"['Task', 'Method']",document : Submanifold Sparse Convolutional Networks,{'Task': []},"<ANSWER>
{'task': ['Submanifold Sparse Convolutional Networks']}
<ANSWER>
{'task': ['Submanifold', 'Sparse Convolutional Networks']}
<ANSWER>
{'task': ['Submanifold', 'Sparse', 'Convolutional Networks']}
<ANSWER>
{'task': ['Submanifold', 'Task: Sparse Convolutional Networks']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse Convolutional Networks']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutional Networks']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Networks']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Design']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Development']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Implementation']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Research']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Training']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Testing']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Evaluation']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Optimization']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Deployment']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Maintenance']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Monitoring']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Upgrades']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Improvements']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Expansion']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Scaling']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Integration']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Customization']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Troubleshooting']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Writing']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Editing']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Formatting']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Publishing']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Distribution']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Translation']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Review']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Revision']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Proofreading']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Formatting', 'Layout']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Graphics']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Illustrations']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Tables']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Figures']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Captions']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'References']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Bibliography']}
<ANSWER>
{'task': ['Submanifold', 'Task', 'Sparse', 'Convolutions', 'Network Documentation', 'Indexing']}
<","<ANSWER>
- task: Researching or studying the topic of Submanifold Sparse Convolutional Networks
<ANSWER>"
11da0c54ba904a1cb31a09d10da55f73e8825c61,document : Natural Language Inference by Tree - Based Convolution and Heuristic Matching,1,"['Task', 'Method']",document : Natural Language Inference by Tree - Based Convolution and Heuristic Matching,{'Task': ['Natural Language Inference']},"<ANSWER>
{'task': ['Natural Language Inference', 'Tree-Based Convolution', 'Heuristic Matching']}
</ANSWER>","<ANSWER>
- task: Natural Language Inference
- task: Tree-Based Convolution
- task: Heuristic Matching
</ANSWER>"
1235dd37312cb20aced0e97d953f6379d8a0c7d4,document : Grounded Textual Entailment,1,"['Task', 'Method']",document : Grounded Textual Entailment,{'Task': ['Grounded Textual Entailment']},"<ANSWER>
{'task': ['Grounded Textual Entailment']}
</ANSWER>","<ANSWER>
- task: Grounded Textual Entailment
</ANSWER>"
14318685b5959b51d0f1e3db34643eb2855dc6d9,document : Going deeper with convolutions,1,"['Task', 'Method']",document : Going deeper with convolutions,{'Task': []},"<ANSWER>
{'task': ['Going deeper with convolutions']}
</ANSWER>","<ANSWER>
- task: Understanding deeper concepts of convolutions
<ANSWER>"
16051bbe3a7f7c77a952ebf76722ea655e8906ca,Image Super - resolution via Feature - augmented Random Forest,1,"['Task', 'Method']",Image Super - resolution via Feature - augmented Random Forest,{'Task': ['Image Super - resolution']},"<ANSWER>
{'task': ['Image Super-resolution', 'Feature augmentation', 'Random Forest']}
</ANSWER>","<ANSWER>
- task: Image Super-resolution
- task: Feature Augmentation
- task: Random Forest Classification
</ANSWER>"
160563abbd75265b19afc8b4169bab9e1eb33d97,document : Massively Multilingual Sentence Embeddings for Zero - Shot Cross - Lingual Transfer and Beyond,1,"['Task', 'Method']",document : Massively Multilingual Sentence Embeddings for Zero - Shot Cross - Lingual Transfer and Beyond,"{'Task': ['Massively Multilingual Sentence Embeddings', 'Zero - Shot Cross - Lingual Transfer']}","<ANSWER>
{'task': ['Massively Multilingual Sentence Embeddings', 'Zero-Shot Cross-Lingual Transfer']}
</ANSWER>","<ANSWER>
- task: Massively Multilingual Sentence Embeddings
- task: Zero-Shot Cross-Lingual Transfer
</ANSWER>"
175f74a09241b6cb5101a2a09978095720db7d5f,document : Image Super - Resolution via Dual - State Recurrent Networks,1,"['Task', 'Method']",document : Image Super - Resolution via Dual - State Recurrent Networks,{'Task': ['Image Super - Resolution']},"<ANSWER>
{'task': ['Image Super-Resolution']}
</ANSWER>","<ANSWER>
- task: Image Super-Resolution
- task: Dual-State Recurrent Networks
</ANSWER>

The given document is about ""Image Super-Resolution via Dual-State Recurrent Networks"". Therefore, the tasks mentioned in the document are ""Image Super-Resolution"" and ""Dual-State Recurrent Networks""."
1778e32c18bd611169e64c1805a51abff341ca53,document : Natural Language Inference over Interaction Space,1,"['Task', 'Method']",document : Natural Language Inference over Interaction Space,"{'Task': ['Interaction Space', 'Natural Language Inference']}","<ANSWER>
{'task': ['Natural Language Inference', 'Interaction Space']}
</ANSWER>","<ANSWER>
- task: Natural Language Inference
- task: over Interaction Space
</ANSWER>"
178275dbdcfa267e41a9d5efe386ee5874c6d23f,document : Fraternal Dropout,1,"['Task', 'Method']",document : Fraternal Dropout,{'Task': []},"<ANSWER>
{'task': ['Fraternal Dropout']}
</ANSWER>","<ANSWER>
- task: Fraternal Dropout
<ANSWER>"
178631e0f0e624b1607c7a7a2507ed30d4e83a42,document : Speech Recognition with Deep Recurrent Neural Networks,1,"['Task', 'Method']",document : Speech Recognition with Deep Recurrent Neural Networks,{'Task': ['Speech Recognition']},"<ANSWER>
{'task': ['Speech Recognition']}
</ANSWER>","<ANSWER>
- task: Speech Recognition
</ANSWER>

<ANSWER>
- task: Implementing Speech Recognition using Deep Recurrent Neural Networks
</ANSWER>"
18168aea48a22f6fe2fe407c0ff70083cba225a7,document : Image Restoration Using Very Deep Convolutional Encoder - Decoder Networks with Symmetric Skip Connections,1,"['Task', 'Method']",document : Image Restoration Using Very Deep Convolutional Encoder - Decoder Networks with Symmetric Skip Connections,{'Task': ['Image Restoration']},"<ANSWER>
{'task': ['Image Restoration', 'Convolutional Encoder-Decoder Networks', 'Very Deep Convolutional Networks', 'Symmetric Skip Connections']}
</ANSWER>","<ANSWER>
- task: Image Restoration
- task: Using Very Deep Convolutional Encoder-Decoder Networks
- task: With Symmetric Skip Connections
</ANSWER>"
193089d56758ab88391d846edd08d359b1f9a863,document : A Discriminatively Learned CNN Embedding for Person Re - identification,1,"['Task', 'Method']",document : A Discriminatively Learned CNN Embedding for Person Re - identification,{'Task': ['Person Re - identification']},"<ANSWER>
{'task': ['Person Re-identification']}
</ANSWER>","<ANSWER>
tasks:
- task: Person Re-identification
- task: Discriminatively Learned CNN Embedding
</ANSWER>"
193b518bc3025804c6d587c74cbc154d91478417,document : Learning to Adapt Structured Output Space for Semantic Segmentation,1,"['Task', 'Method']",document : Learning to Adapt Structured Output Space for Semantic Segmentation,{'Task': ['Semantic Segmentation']},"<ANSWER>
{'task': ['Learning to Adapt', 'Structured Output Space', 'Semantic Segmentation']}
</ANSWER>

In this document, the tasks are:

1. Learning to Adapt
2. Adapting Structured Output Space
3. Semantic Segmentation","<ANSWER>
- task: Semantic Segmentation
- task: Learning to Adapt
- task: Structured Output Space
</ANSWER>"
1d0dcb458aa4d30b51f7c74b159be687f39120a0,document : Pose - driven Deep Convolutional Model for Person Re - identification,1,"['Task', 'Method']",document : Pose - driven Deep Convolutional Model for Person Re - identification,{'Task': ['Person Re - identification']},"<ANSWER>
{'task': ['Person Re-identification']}
</ANSWER>","<ANSWER>
tasks:
- task: Person Re-identification
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Deep Learning
- task: Convolutional Model
- task: Pose-driven
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Pose Estimation
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
- task: Model Evaluation
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
- task: Model Evaluation
- task: Result Analysis
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
- task: Model Evaluation
- task: Result Analysis
- task: Report Writing
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
- task: Model Evaluation
- task: Result Analysis
- task: Report Writing
- task: Presentation
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
- task: Model Evaluation
- task: Result Analysis
- task: Report Writing
- task: Presentation
- task: Deployment
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task: Model Training
- task: Data Preprocessing
- task: Data Augmentation
- task: Data Labeling
- task: Hyperparameter Tuning
- task: Model Evaluation
- task: Result Analysis
- task: Report Writing
- task: Presentation
- task: Deployment
- task: Maintenance
</ANSWER>

<ANSWER>
tasks:
- task: Person Re-identification
- task: Computer Vision
- task: Deep Learning
- task: Convolutional Neural Networks (CNNs)
- task: Feature Extraction
- task: Pose Estimation
- task:"
1f08598381af9146d0fd9a61b30d0e51a7331689,document : Distributed Prioritized Experience Replay,1,"['Task', 'Method']",document : Distributed Prioritized Experience Replay,{'Task': ['Distributed Prioritized Experience Replay']},"<ANSWER>
{'task': ['Distributed Prioritized Experience Replay']}
</ANSWER>","<ANSWER>
- task: Distributed Prioritized Experience Replay
<ANSWER>"
2138a7127429d67746ec78de46d6820fee0e548e,document : Graph2Seq : Graph to Sequence Learning with Attention - Based Neural Networks,1,"['Task', 'Method']",document : Graph2Seq : Graph to Sequence Learning with Attention - Based Neural Networks,{'Task': ['Graph to Sequence Learning']},"<ANSWER>
{'task': ['Graph to Sequence Learning', 'Neural Networks']}
</ANSWER>","<ANSWER>
- task: Graph to Sequence Learning
- task: Using Attention-Based Neural Networks
</ANSWER>"
21a1654b856cf0c64e60e58258669b374cb05539,"document : You Only Look Once : Unified , Real - Time Object Detection",1,"['Task', 'Method']","document : You Only Look Once : Unified , Real - Time Object Detection",{'Task': ['Real - Time Object Detection']},"<ANSWER>
{'task': ['Unified', 'Real-Time', 'Object Detection']}
</ANSWER>","<ANSWER>
- task: Object Detection
- task: Real-Time Object Detection
- task: Unified Object Detection
</ANSWER>"
232b43584b2236669c0a53702ad89ab10c3886ea,"In this work , we build on recent advances in distributional reinforcement learning to give a generally applicable , flexible , and state - of - the - art distributional variant of DQN .",1,"['Task', 'Method']","In this work , we build on recent advances in distributional reinforcement learning to give a generally applicable , flexible , and state - of - the - art distributional variant of DQN .",{'Task': []},"<ANSWER>
{'task': ['distributional reinforcement learning', 'giving a distributional variant of DQN']}
</ANSWER>","<ANSWER>
- task: Building a distributional variant of DQN using recent advances in distributional reinforce learning
</ANSWER>"
23d2d3a6ffebfecaa8930307fdcf451c147757c8,document : SeqGAN : Sequence Generative Adversarial Nets with Policy Gradient,1,"['Task', 'Method']",document : SeqGAN : Sequence Generative Adversarial Nets with Policy Gradient,{'Task': []},"<ANSWER>
{'task': ['Sequence Generative Adversarial Nets', 'Nets with Policy Gradient']}
</ANSWER>","<ANSWER>
- task: Sequence Generation
- task: Adversarial Training
- task: Policy Gradient
</ANSWER>"
24730424236724d3f798dec02901e7a1f1c4710e,Joint Maximum Purity Forest with Application to Image Super - Resolution,1,"['Task', 'Method']",Joint Maximum Purity Forest with Application to Image Super - Resolution,{'Task': ['Image Super - Resolution']},"<ANSWER>
{'task': ['Joint Maximum Purity Forest', 'Application to Image Super-Resolution']}
</ANSWER>","<ANSWER>
- task: Forest Segmentation (Joint Maximum Purity Forest)
- task: Image Super-Resolution
</ANSWER>"
249b3b7421d3cdb932eecfe4b67203e0e46806b2,document : Cell - aware Stacked LSTMs for Modeling Sentences,1,"['Task', 'Method']",document : Cell - aware Stacked LSTMs for Modeling Sentences,{'Task': ['Modeling Sentences']},"<ANSWER>
{'task': ['Modeling Sentences']}
</ANSWER>","<ANSWER>
- task: Modeling Sentences
- task: Cell-aware Stacked LSTMs
<ANSWER>"
25a784f7f8c94c42821ee078587fc38dffcd00a4,document : Robust Face Detection via Learning Small Faces on Hard Images,1,"['Task', 'Method']",document : Robust Face Detection via Learning Small Faces on Hard Images,"{'Task': ['Learning Small Faces', 'Robust Face Detection']}","<ANSWER>
{'task': ['Robust Face Detection']}
</ANSWER>","<ANSWER>
tasks:
- task: Face Detection
- task: Robust Face Detection
- task: Learning
- task: Small Faces
- task: Hard Images
</ANSWER>"
25f5df29342a04936ba0d308b4d1b8245a7e8f5c,Convolutional Pose Machines,1,"['Task', 'Method']",Convolutional Pose Machines,{'Task': []},"<ANSWER>
{'task': ['Convolutional Pose Machines']}
<ANSWER>
In this document, the task is explicitly mentioned as ""Convolutional Pose Machines"". Therefore, the output will be a dictionary with the key 'task' and the value as a list containing the task name entity.
<ANSWER>
{'task': ['Convolutional Pose Machines']}
<ANSWER>","<ANSWER>
- task: Researching or studying Convolutional Pose Machines
<ANSWER>"
269730dbbabed8b8b5ba720e44a4c31b1f51e8f1,Published as a conference paper at ICLR 2017 QUERY - REDUCTION NETWORKS FOR QUESTION ANSWERING,1,"['Task', 'Method']",Published as a conference paper at ICLR 2017 QUERY - REDUCTION NETWORKS FOR QUESTION ANSWERING,{'Task': ['QUESTION ANSWERING']},"<ANSWER>
{'task': ['Question Answering']}
</ANSWER>","<ANSWER>
- task: Research
- task: Publication
- task: Conference Paper
- task: ICLR 2017
- task: Query Processing
- task: Reduction Networks
- task: Question Answering
</ANSWER>"
270e65acc071b9e4e2a632720130c0e10cb6fa08,document : Neural Tree Indexers for Text Understanding,1,"['Task', 'Method']",document : Neural Tree Indexers for Text Understanding,{'Task': ['Text Understanding']},"<ANSWER>
{'task': ['Neural Tree Indexers', 'Text Understanding']}
</ANSWER>","<ANSWER>
- task: Neural Tree Indexing
- task: Text Understanding
</ANSWER>

The document is about ""Neural Tree Indexers for Text Understanding"". The tasks mentioned in the document are ""Neural Tree Indexing"" and ""Text Understanding""."
2777cd26b2c257843273fe41ad4c5b8cdf1b1b75,document : Understanding Humans in Crowded Scenes : Deep Nested Adversarial Learning and A New Benchmark for Multi - Human Parsing,1,"['Task', 'Method']",document : Understanding Humans in Crowded Scenes : Deep Nested Adversarial Learning and A New Benchmark for Multi - Human Parsing,"{'Task': ['Understanding Humans in Crowded Scenes', 'Multi - Human Parsing']}","<ANSWER>
{'task': ['Deep Nested Adversarial Learning', 'Multi- Human Parsing', 'Benchmark']}
</ANSWER>","<ANSWER>
- task: Deep Learning
- task: Adversarial Learning
- task: Multi-Human Parsing
- task: Benchmarking
</ANSWER>"
27a99c21a1324f087b2f144adc119f04137dfd87,document : Deep Fried Convnets,1,"['Task', 'Method']",document : Deep Fried Convnets,{'Task': []},"<ANSWER>
{'task': ['Deep Fried Convnets']}
</ANSWER>","<ANSWER>
- task: Document Analysis
- task: Named Entity Recognition
- task: YAML Format Conversion

Output:
```yaml
tasks:
- Document Analysis
- Named Entity Recognition
- YAML Format Conversion
```
</ANSWER>"
27aa0f3ec934925265f93fac7ff1cd1d70ceb618,Strong Baselines for Neural Semi - supervised Learning under Domain Shift,1,"['Task', 'Method']",Strong Baselines for Neural Semi - supervised Learning under Domain Shift,"{'Task': ['Neural Semi - supervised Learning', 'Domain Shift']}","<ANSWER>
{'task': ['Neural Semi-supervised Learning', 'Domain Shift']}
</ANSWER>","<ANSWER>
- task: Neural Semi-supervised Learning
- task: Strong Baselines
- task: Domain Shift
</ANSWER>"
