id,document,keyphrases
S0370269304009530,"If signals suggesting supersymmetry (SUSY) are discovered at the LHC then it will be vital to measure the spins of the new particles to demonstrate that they are indeed the predicted super-partners. A method is discussed by which the spins of some of the SUSY particles can be determined. Angular distributions in sparticle decays lead to charge asymmetry in lepton-jet invariant mass distributions. The size of the asymmetry is proportional to the primary production asymmetry between squarks and anti-squarks. Monte Carlo simulations are performed for a particular mSUGRA model point at the LHC. The resultant asymmetry distributions are consistent with a spin-0 slepton and a spin-12χ˜20, but are not consistent with both particles being scalars.","['Angular distributions', 'anti-squarks', 'asymmetry distributions', 'charge asymmetry', 'demonstrate that they are indeed the predicted super-partners', 'lepton-jet invariant mass distributions', 'measure the spins of the new particles', 'Monte Carlo simulations', 'mSUGRA model point', 'particles', 'primary production asymmetry', 'sparticle decays', 'spin-0 slepton', 'squarks', 'super-partners', 'supersymmetry', 'SUSY', 'SUSY particles']"
S2212671612002351,"In this paper, a novel position estimation method of prism was proposed for single-lens stereovision system. The prism with multi faces was considered as a single optical system composed of some refractive planes. A transformation matrix which can express the relationship between an object point and its image by the refraction of prism was derived based on geometrical optics, and a mathematical model was introduced which can denote the position of prism with arbitrary faces only by 7 parameters. This model can extend the application of single-lens stereovision system using prism to a more widely area. Experimentation results are presented to prove the effectiveness and robustness of our proposed model.","['effectiveness', 'express the relationship', 'extend the application of single-lens stereovision system', 'geometrical optics', 'image', 'mathematical model', 'object point', 'position estimation method', 'prism', 'refraction of prism', 'refractive planes', 'robustness', 'single-lens stereovision system', 'single optical system', 'transformation matrix']"
S0301010415300355,"Alternatively to H-atom photodetachment from the intermediate radicals, the latter may serve as reducing agents. Evidence has been reported in recent years that the pyridinyl radical (PyH) is an exceptionally strong reducing agent which can even reduce CO2 to formaldehyde, formic acid or methanol with suitable catalyzers [27–29], albeit the mechanisms of these reactions are currently poorly understood [30–32]. The theoretically predicted dissociation thresholds of the AcH, AOH and BAH radicals are about 2.7eV, 2.5eV and 3.0eV, respectively (see Fig. 4), while the predicted dissociation threshold of the pyridinyl radical is much lower, about 1.7eV [1]. Pyridinyl is thus a significantly stronger reductant than acridinyl and related radicals. It is therefore not expected that the latter will be able to reduce carbon dioxide in dark reactions.","['AcH, AOH and BAH radicals', 'acridinyl', 'carbon dioxide', 'catalyzers', 'CO2', 'formaldehyde', 'formic acid', 'H-atom photodetachment', 'intermediate radicals', 'methanol', 'PyH', 'Pyridinyl', 'pyridinyl radical', 'radicals', 'reduce carbon dioxide in dark reactions', 'reducing agent', 'reducing agents', 'reductant']"
S0927025612000249,"The need for power generation industry to improve the thermal efficiency of power plant has led to the development of 9–12% Cr martensitic steels. The development of and research on P91 steels started since late 1970s and early 1990s, respectively [1]. The work has focussed on their creep strengths due to its intended application at high temperature. Recently, the introduction of more cyclic operation of power plant has introduced the possibility of fatigue problems. Bore cracking due to the effects of varying steam warming has been reported [2]. The temperature cycling causes thermal gradients between the inside and outside of components and this can cause cyclic stress levels to be of concerns. Recently, research on thermal–mechanical analysis of P91 has been carried out including the characterisation of the cyclic behaviour of the material using the two-layer and unified visco-plasticity models [3,4].","['9–12% Cr martensitic steels', 'characterisation of the cyclic behaviour of the material', 'development of and research on P91 steels', 'fatigue problems', 'improve the thermal efficiency of power plant', 'P91', 'P91 steels', 'power generation', 'power plant', 'steam warming', 'temperature cycling', 'the material', 'thermal–mechanical analysis of P91', 'two-layer and unified visco-plasticity models']"
S0010938X12001163,"In situ oxidation, experiments were carried out using 3mm diameter discs with one surface ground and polished to a 1μm diamond finish. The 3mm discs were then oxidised in a Philips XL-30 FEG ESEM with a hot stage attachment. The oxidising atmosphere used was laboratory air at a pressure of 266Pa. During the experiment, the sample was observed and imaged using a primary beam energy of 20kV and an Everhart–Thornley secondary electron detector. The sample was heated at a rate of 100°C/min to a temperature of 700°C and held at this temperature for 8min to stabilise the stage and the microscope. The sample was then heated to a final temperature of 900°C at the same heating rate. The total time of exposure of the sample was 120min before cooling to room temperature by turning off the heating coils. The samples were then examined in the LEO 1530VP FEGSEM with chemical information gathered using EDS. Cross-sections and Transmission Electron Microscope (TEM) samples were produced using a dual beam FEI Nova Nanolab 600 for Focused Ion Beam (FIB) milling perpendicular to the phase boundaries to determine their influence on the oxide development and imaged using a Jeol 2000FX W-filament TEM. EDS maps of the TEM samples were collected using the Nanolab 600 with a Scanning TEM (STEM) detector and an EDAX Genesis EDS system at an accelerating voltage of 30kV.","['3mm diameter discs', 'accelerating voltage of 30kV', 'dual beam FEI Nova Nanolab 600', 'EDAX Genesis EDS system', 'EDS', 'FIB', 'Focused Ion Beam', 'ground and polished', 'heated', 'heated to a final temperature of 900°C', 'heating coils', 'hot stage attachment', 'In situ oxidation', 'Jeol 2000FX W-filament TEM', 'LEO 1530VP FEGSEM', 'Nanolab 600', 'oxide', 'oxide development', 'oxidised', 'Philips XL-30 FEG ESEM', 'Scanning TEM', 'Scanning TEM (STEM) detector', 'stabilise the stage and the microscope', 'STEM', 'TEM', 'TEM samples', 'Transmission Electron Microscope']"
S0021961413004321,"The thermodynamics of copper-zinc alloys (brass) was subject of numerous investigations. Brass is characterised by an excess enthalpy and excess entropy of mixing, both of which are negative. The enthalpic data were measured by solution calorimetry e.g., [1–3] and based on chemical potential data calculated from phase equilibrium experiments e.g., [4–6], the excess entropy of mixing could be evaluated e.g., [7–9]. This excess entropy contains both, the vibrational and the configurational parts. The excess vibrational entropy, defined as the deviation from the entropy of a mechanical mixture of the end members A and B (i.e., Smmechmix=XASmA+XBSmB), can be determined by measuring the low temperature heat capacity (5 to 300K) versus composition behaviour. The determination of the excess configurational entropy, i.e., the excess entropy coming from non-random atomic distributions and defects, is much more difficult. Here, neutron scattering investigations together with computer simulations are normally used. If, however, reliable data of the total excess entropy (from enthalpic and chemical potential data) are available, the measurement of the excess vibrational entropy enables the determination of the excess configurational entropy simply by subtraction. Since configurational and vibrational entropies may have different temperature dependencies, it is worthwhile to separate the entropic effects. This is one aim of this study. Another aim is to deliver experimental data so that first principles studies can test their models on a disordered alloy, whose structural details (short-range order) depend on temperature.","['brass', 'Brass', 'chemical potential data', 'computer simulations', 'copper-zinc alloys', 'deliver experimental data', 'determination of the excess configurational entropy', 'disordered alloy', 'enthalpic and chemical potential data', 'enthalpic data', 'excess configurational entropy', 'excess enthalpy and excess entropy of mixing', 'excess entropy of mixing', 'experimental data', 'measurement of the excess vibrational entropy', 'measuring the low temperature heat capacity (5 to 300K) versus composition behaviour', 'neutron scattering investigations', 'phase equilibrium experiments', 'reliable data of the total excess entropy', 'separate the entropic effects', 'Smmechmix=XASmA+XBSmB', 'solution calorimetry', 'subtraction', 'thermodynamics of copper-zinc alloys (brass)', 'vibrational and the configurational parts']"
S002231151500032X,"Zirconium alloys are used as cladding to encapsulate fuel pellets in pressurised and boiling water nuclear reactors. Research into oxidation of these alloys has been significant since the introduction of the material. However, the microstructure and electro-chemical processes during oxidation are complex and many questions still remain unanswered. One such issue is the formation of lateral cracks near the metal-oxide interface. Small cracks have been seen to form continuously during oxidation, with large scale networks of lateral cracks forming cyclically every ∼2μm of oxide growth. These networks of cracks can be correlated with acceleration in the corrosion kinetics [1–7]. These lateral cracks might enable the link up of nano pores along grain boundaries perpendicular to the metal/oxide interface as reported in [8,9]. Experiments using Synchrotron X-Ray Diffraction (S-XRD) by both Polatidis et al. and Petigny et al., have separately shown that oxides formed on Zircaloy-4 are composed of monoclinic and stabilised tetragonal phases, with an ∼7% reduction in the tetragonal phase fraction from 1 to 3μm oxide growth [4,10]. One theory is that the lateral cracks may destabilise the tetragonal phase close to the metal-oxide interface. The phase transformation has an ∼6% expansion associated with it, which could lead to fracture perpendicular to the metal-oxide interface, thereby generating fast ingress routes for oxygen containing species [11,12].","['∼7% reduction in the tetragonal phase', 'alloys', 'cladding', 'corrosion kinetics', 'fracture', 'fuel pellets', 'grain', 'ingress', 'link up of nano pores', 'metal-oxide interface', 'metal/oxide interface', 'microstructure and electro-chemical processes', 'monoclinic and stabilised tetragonal phases', 'oxidation', 'oxidation of these alloys', 'oxides', 'oxygen containing species', 'phase transformation', 'S-XRD', 'Synchrotron X-Ray Diffraction', 'tetragonal phase', 'water nuclear reactors', 'Zircaloy-4', 'Zirconium alloys']"
S0003491615000433,"Nuclear theory devoted major efforts since 4 decades to describe thermalization in nuclear reactions, predominantly using semi-classical methods  [13,14,10], in line with similar problems in quantum liquids  [15,16]. There were attempts to develop improved molecular dynamics methods combining quantum features with a semi classical treatment of dynamical correlations  [17,18]. Still, no clear-cut quantum approach is readily available yet, in spite of numerous formal attempts [19,20,10]. The field of clusters and nano structures is far younger but fast developing in relation to the ongoing developments of lasers and imaging techniques. Semiclassical approaches were also considered in the field to include some dynamical corrections  [21,22] and could qualitatively describe dynamical processes. But such approaches are bound to simple metals with sufficiently delocalized wave functions, and thus smooth potentials justifying semiclassical approximations. The case of organic systems, in particular the much celebrated C60   [4,23], cannot be treated this way. Semi classical, and even classical approaches, can be used at very high excitations such as delivered by very intense laser pulses  [2]. In such cases the system is blown up and details of its quantum mechanical features do not matter anymore. But for less violent scenarios, quantum shell effects cannot be ignored.","['C60', 'combining quantum features', 'field of clusters and nano structures', 'imaging techniques', 'improved molecular dynamics methods', 'lasers', 'nuclear reactions', 'Nuclear theory', 'organic systems', 'qualitatively describe dynamical processes.', 'quantum approach', 'quantum liquids', 'quantum mechanical features', 'quantum shell effects', 'semi-classical methods', 'semi classical treatment of dynamical correlations', 'simple metals', 'simple metals with sufficiently delocalized wave functions', 'thermalization', 'very intense laser pulses']"
S0301010415002256,"For decades, vibronic coupling models [1–4] have served as bridges connecting nuclear dynamics studies with the static studies of electronic structure calculations [5]. The vibronic coupling model is a simple polynomial expansion of diabatic potential energy surfaces and couplings. The expansion coefficients are chosen so that the eigenvalues of the potential operator map on to the adiabatic potential surfaces. This diabatisation by ansatz circumvents many of the problems of describing non-adiabatic systems. It is also the inspiration for a diabatisation scheme that is used in modern, direct-dynamic methods that include non-adiabatic effects [6]. For a model Hamiltonian to correctly approximate the eigenvectors of the true Hamiltonian it has to span the totally symmetric irreducible representation (IrRep) of the point groups the molecule belongs to, at the appropriate symmetric geometries [7]. In recent times, many articles have demonstrated the advantages of using symmetry when constructing analytic model potentials [8–12], most often in the context of permutation-inversion groups [13].","['analytic model potentials', 'diabatic potential energy surfaces and couplings', 'diabatisation', 'diabatisation scheme', 'direct-dynamic methods', 'electronic structure calculations', 'expansion coefficients', 'irreducible representation', 'IrRep', 'model Hamiltonian', 'non-adiabatic systems', 'nuclear dynamics studies', 'permutation-inversion groups', 'polynomial expansion', 'symmetric geometries', 'true Hamiltonian', 'vibronic coupling model', 'vibronic coupling models']"
S0009261415000974,"Within the range of temperatures chosen, alanine dipeptide exhibits very simple behaviour. This result is due to the relatively small number of physically relevant minima (seven were characterised using this force field and solvent model) and the larger potential energy spacing between the global minimum and higher energy minima. Indeed, cross-overs in the approximate global free energy minimum for this system (where the free energy of the second-lowest potential energy minimum becomes lower than that of the global potential energy minimum) in the harmonic approximation would occur at 1170K. In general, the harmonic prediction for the crossover temperature between two minima is(4)kBTxo=V1−V2ln((o2ν¯2κ)/(o1ν¯1κ)),from Eq. (3), which clearly illustrates the balance between potential energy and well entropy.","['alanine dipeptide', 'balance between potential energy and well entropy', 'cross-overs in the approximate global free energy', 'force field and solvent model', 'larger potential energy spacing', 'physically relevant minima', 'range of temperatures chosen']"
S1687850714000405,"Xylanases have potential applications in various fields. Some of the important applications are as fallows. Xylanases are used as bleaching agent in the pulp and paper industry. Mostly they are used to hydrolyzed the xylan component from wood which facilitate in removal of lignin (Viikari, Kantelinen, Buchert, & Puls, 1994). It also helps in brightening of the pulp to avoid the chlorine free bleaching operations (Paice, Jurasek, Ho, Bourbonnais, & Archibald, 1989). In bakeries the xylanase act on the gluten fraction of the dough and help in the even redistribution of the water content of the bread (Wong & Saddler, 1992). Xylanases also have potential application in animal feed industry. They are used for the hydrolysis of non-starchy polysaccharides such as arabinoxylan in monogastric diets (Walsh, Power, & Headon, 1993). Xylanases also play a key role in the maceration of vegetable matter (Beck & Scoot, 1974), protoplastation of plant cells, clarification of juices and wine (Biely, 1985) liquefaction of coffee mucilage for making liquid coffee, recovery of oil from subterranian mines, extraction of flavors and pigments, plant oils and starch (McCleary, 1986) and to improve the efficiency of agricultural silage production (Wong & Saddler, 1992).","['animal feed industry', 'arabinoxylan', 'bleaching agent', 'brightening of the pulp', 'chlorine free bleaching operations', 'clarification of juices and wine', 'efficiency of agricultural silage production', 'even redistribution of the water content of the bread', 'extraction of flavors and pigments, plant oils and starch', 'hydrolysis of non-starchy polysaccharides', 'hydrolyzed the xylan component', 'lignin', 'liquefaction of coffee mucilage', 'maceration of vegetable matte', 'making liquid coffee', 'non-starchy polysaccharides', 'protoplastation of plant cells', 'pulp', 'pulp and paper industry', 'recovery of oil from subterranian mines', 'removal of lignin', 'wood', 'xylanase', 'Xylanases', 'xylan component']"
S0021999113002945,"Inequality (22) indicates that the maximum-norm is the loosest among all p-norms. Fortunately, this loosest constraint would not seriously affect the accuracy since the value of ||y||∞ is comparable to that of the 2-norm and 1-norm. The maximum-norm provides us with the largest number of possible solutions under a given error limitation [24]. This would greatly enhance the possibility of finding a group of optimized coefficients when scanning a vast solution set. On the other hand, checking the maximum deviation sounds more reasonable than checking the “distance” between the accurate and approximated wave numbers since it is not working in the space domain. Therefore, we chose the maximum-norm as our criterion for designing the objective functions to extend the accurate wave number coverage as widely as possible.","['1-norm', '2-norm', 'extend the accurate wave number coverage', 'Inequality', 'maximum deviation', 'maximum-norm', 'objective functions', 'optimized coefficients', 'p-norms', 'vast solution set', '||y||∞']"
S0167931713002438,"There have been suggestions that electrons can be trapped in the bulk and at surfaces of silica [15] but new models of electron trapping centres started to appear only recently. It has been suggested by Bersuker et al., who used molecular models, that electrons can be trapped by Si–O bonds in a-SiO2 leading to their weakening and thus facilitating Si–O bond dissociation [16]. Further calculations by Camellone et al. have shown that electrons can spontaneously trap in non-defective continuum random network model of a-SiO2 [17]. Recent calculations have also demonstrated that the two dominant neutral paramagnetic defects at surfaces of a-SiO2, the non-bridging oxygen centre and the silicon dangling bond, are deep electron traps and can form the corresponding negatively charged defects [18]. However, these theoretical predictions have not yet been confirmed experimentally, emphasising the challenges for identifying defect centres.","['a-SiO2', 'a-SiO2 leading', 'bulk', 'deep electron traps', 'electrons', 'electron trapping centres', 'identifying defect centres', 'molecular models', 'negatively charged defects', 'neutral paramagnetic defects', 'non-bridging oxygen centre', 'non-defective continuum random network model', 'silica', 'silicon dangling bond', 'Si–O bond', 'Si–O bond dissociation', 'Si–O bonds', 'spontaneously trap', 'surfaces of a-SiO2', 'trapped', 'trapped in the bulk and at surfaces of silica', 'weakening']"
S0957417416302561,"•More efforts should be directed towards advancing the methods of feature extraction to overcome the influence of dynamic factors that limit the performance. The use of advanced machine learning methods such as deep neural networks and muscles synergies extraction should also be investigated on problems under the influence of multiple dynamic factors as such methods may provide substantial improvements upon the utilized time-and-frequency EMG feature extraction methods (Diener, Janke, & Schultz, 2015; Ison, Vujaklija, Whitsell, Farina, & Artemiadis, 2016; Park & Lee, 2016). Meanwhile, we showed that the performance of the learning algorithms can be improved by using feature extraction methods that rely on the angular information of muscle activation patterns. Features such as the TD-PSD and the DFT proved more successful than others in reducing the impact of the two dynamic factors that we considered in this paper. Such features can be readily implemented into a prosthesis controller for real-time control, especially that the EMG pattern recognition systems are nowadays becoming available for clinical testing, e.g. the COAPT complete control system (Kuiken et al., 2014)11https://www.coaptengineering.com/.","['advanced machine learning methods', 'clinical testing', 'COAPT complete control system', 'deep neural networks', 'DFT', 'EMG pattern recognition systems', 'feature extraction', 'feature extraction methods', 'Features', 'muscles synergies extraction', 'performance', 'prosthesis controller', 'real-time control', 'reducing the impact of the two dynamic factors', 'TD-PSD', 'utilized time-and-frequency EMG feature extraction methods']"
